Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
BCAR3,5.453040721793598,-2.0891424689214597,0.7001045925135213,-2.9840433718924815,0.0028446644570996305,0.04906529602941699,True,False
ARHGAP29,2.905750382303522,-1.5550141241682556,0.5018575346543338,-3.0985170427685382,0.001944917834148044,0.037905943068546076,True,False
NOL3,9.229666187080127,1.269992715345111,0.4085136405034098,3.1088134873051083,0.0018784025561163079,0.037014662817412225,True,False
DEF8,17.913454281060268,-2.35379307531891,0.4046043954129817,-5.817517313217474,5.972807748902558e-09,3.2728689230236437e-06,True,False
DPEP3,10.192440567677547,-1.1380888041815955,0.295226380697802,-3.854969875969722,0.00011574388024502743,0.005647270759763376,True,False
PTPRF,2.8881100553499044,2.7543195440049493,0.8692037219158517,3.1687848021796636,0.0015307769036642211,0.03202493178634972,True,False
RGS16,6.700391594076207,1.41814541593191,0.4019385451536978,3.5282642907253985,0.0004182942928725089,0.013606024635969485,True,False
PAM,60.897736138436166,-2.6694538737405566,0.3749072156240639,-7.12030540489073,1.0768817515526872e-12,1.7047038127079039e-09,True,False
PRIM2,3.369871901382264,-3.5187371346024574,1.124222638000729,-3.1299290866976612,0.0017484850640242281,0.03538095459311908,True,False
ZNF711,7.264856516484594,-1.0501958159451565,0.3014542266736304,-3.483765437736428,0.0004944125866216607,0.015583840976988497,True,False
GNRH1,1.642543200186363,-1.281714766102854,0.4204687527692358,-3.0482996837729166,0.0023014029082019474,0.04240110105877906,True,False
NPAS3,12.4844090684994,-4.067006845755095,1.3161493083918074,-3.09008014502894,0.0020010249214646282,0.03868195665686101,True,False
ARL11,6.407615945722344,3.2385898132535647,0.5429429012644617,5.964881032077593,2.4481234504351966e-09,1.5164528173195758e-06,True,False
ZNF776,7.20434292754808,-1.934470855530068,0.5694037859474772,-3.397362123806649,0.0006803886468250932,0.019380477255963494,True,False
FARP1,23.669595143485317,-3.7388328425304285,0.5434934338829445,-6.879260372694187,6.016410799282521e-12,7.1429837214481725e-09,True,False
SLC16A12,3.037105148372521,-2.4108448006817103,0.6548289198820951,-3.6816406964979396,0.0002317378457925611,0.00920982337695943,True,False
PLA2R1,8.244069527394247,-1.7920862687469366,0.5313017004523705,-3.3730106024902358,0.0007435108959209085,0.020528681655397642,True,False
ADGRF1,16.558790322036092,-1.9242601704480145,0.3608435923544057,-5.332671027612665,9.677854623017034e-08,3.0640087736471935e-05,True,False
GPR15,133.73454727403046,1.8416005011722774,0.3800196016328217,4.846067132483466,1.2593291864428182e-06,0.00021880076730793698,True,False
PDLIM3,2.5080396722133997,-2.3582023223565836,0.7396118355787105,-3.1884323761685134,0.0014304646424579957,0.030738808086122265,True,False
CXADR,16.011753818517285,-3.12667295465347,0.5819502307709398,-5.372749746161976,7.754491626961822e-08,2.5108691411210245e-05,True,False
IL34,1.5590578350810496,-2.120722582295286,0.5078207450332234,-4.176124356945167,2.9651775942051512e-05,0.0021017355813254123,True,False
SLC5A11,1.5227535206518918,-2.5512936697764594,0.7044809253867259,-3.6215227096119356,0.00029287409036328385,0.010615364347140997,True,False
ZNF761,59.93501189249098,5.6378560760612375,0.6682288005723556,8.437014494484922,3.2554610507178954e-17,9.276110717915571e-14,True,False
PIERCE1,3.523125389705302,-1.6677943053026736,0.43129939916825966,-3.8669061643001026,0.00011022481512508121,0.005471682721557602,True,False
FBXO27,4.594370024813601,-2.828917835413957,0.8631955708535664,-3.277261759599388,0.0010481914595635415,0.025467719692187453,True,False
RAVER2,6.867874673613201,-1.2259163336256138,0.2536271971256461,-4.833536574621762,1.341286225920605e-06,0.00022434021129618187,True,False
RBM47,2.229434310924804,1.775479645593464,0.5180780580577176,3.4270504569326175,0.0006101756799846056,0.017998287604017962,True,False
NOS3,2330.906071279601,-8.094862626869357,0.6585935515166509,-12.291135569469205,1.010760948212903e-34,1.440031122918923e-30,True,False
FZD6,4.382244702676469,1.3285936399039509,0.3214628057748126,4.132962246446147,3.581175686794762e-05,0.002395352582618074,True,False
METTL27,7.275971905553552,1.7486744534529088,0.39333690849083636,4.445742099723774,8.758897689616575e-06,0.0008732477478890154,True,False
STOX1,3.8576163078768433,-1.9677764393728499,0.6203820741605951,-3.1718783010217373,0.0015145646197134812,0.03187297213745637,True,False
PPFIBP2,14.913401075037228,-1.024158144038861,0.3199892217698092,-3.200602002699985,0.0013714081839964315,0.029878457600469803,True,False
SEMA6B,20.7720862575179,1.9206523040550454,0.6408745005287979,2.996924206643076,0.0027271850901280253,0.04785000736336696,True,False
MIS12,2.1429177396672046,-2.2763349187015725,0.7015037859123527,-3.2449360422781552,0.0011747700593086293,0.027256913650390527,True,False
GNG4,17.209798243876712,1.8181216830305278,0.5978254425354151,3.041225002602365,0.0023561768567384946,0.04303647651019658,True,False
ROR2,8.142669763849913,-2.678637227202934,0.6987292082743389,-3.8335841631959267,0.00012628956387395564,0.005997491388374154,True,False
TM2D2,17.32136758265031,1.0218807590942172,0.2107153038660157,4.849580169763012,1.2372305770087234e-06,0.00021761511148942324,True,False
CMTM8,21.615375876841135,1.1619673257538108,0.3313020742677258,3.5072745267958174,0.00045272183198190406,0.014559656749991393,True,False
TMC7,8.853979271241595,-1.967685374610174,0.4723986207993138,-4.165307196030307,3.109336015909045e-05,0.0021715054028753024,True,False
PAQR8,8.982711823447728,1.5655882502542269,0.4643386452519669,3.3716518456151374,0.0007471883695449291,0.020590314701947013,True,False
LPAR3,15.180734415526166,1.210422442663578,0.3631880305568373,3.3327707435946246,0.0008598576351361137,0.022685910607007802,True,False
PEAK1,54.562211749664854,-1.4220044971118018,0.30043453316863167,-4.733159274715071,2.210518908531235e-06,0.000324672813297366,True,False
CBX2,3.149909083755125,1.1421853160389037,0.3674728269686688,3.1082170767861648,0.0018821976318488555,0.03703821776374398,True,False
ZNF404,4.9715628296380325,1.0243173911429675,0.31958964431400727,3.205101946721848,0.0013501465057503196,0.029711978196258537,True,False
EID2B,34.837631441993565,-1.17069155877681,0.26478750826367303,-4.421249198852107,9.81319202704273e-06,0.0009510785497229781,True,False
OR4X1,17.097352405591682,-3.0016332136721897,0.8449066417260271,-3.5526211600612694,0.00038141332651925043,0.0129073025118898,True,False
TCERG1L,2.751947915636328,-2.8209924834518074,0.6748320604095296,-4.180288176794469,2.9113990230216866e-05,0.0020785514856023445,True,False
METRNL,189.48764925063833,-1.370371895068835,0.44402356854464287,-3.0862593613227434,0.0020269193664668103,0.03886611065148404,True,False
AMER3,8.69915457910763,-2.3263581957936172,0.6445069295199577,-3.6095161886410403,0.00030676862968361543,0.01100889840579967,True,False
OR13D1,32.64808379860224,-8.069311245650136,1.568979515973576,-5.143031609716717,2.7034011507716403e-07,6.018024405475556e-05,True,False
GLIPR1L2,2.2259057119970085,1.2839701003665664,0.42677800392354226,3.00851985941757,0.0026252364355445726,0.046705134195622,True,False
AATK,3.8641893608788163,-2.0907291751497756,0.5796482327555981,-3.6068930378871826,0.00030988532510204634,0.011065003074508405,True,False
RIMBP3C,2.9016945874569093,3.3234979569006837,0.7899788848374544,4.20707188595873,2.587008675590487e-05,0.0019468190482441027,True,False
SOCS3,423.9497843924393,1.030409637637682,0.2393996085957059,4.3041408617247185,1.6763498448023293e-05,0.001404879778758752,True,False
RPS27L,111.27950323389071,-4.596312690523169,0.5302974193948101,-8.667424208416111,4.420056768267143e-18,1.5743137194375495e-14,True,False
RTN4RL1,3.479247330770762,1.7173018752458038,0.40588106952142267,4.231046984454552,2.3260607384167905e-05,0.0018410770744568899,True,False
OR4C46,8.169093027100574,2.839936738122646,0.7679399312031737,3.6981235416071687,0.0002171991779126265,0.008866580767109427,True,False
LCE3E,34.589599031311195,-8.069311245650136,2.2017537171125583,-3.6649472567860397,0.0002473895604238686,0.009629942806991408,True,False
SAPCD2,8.561460385632195,1.061332667548629,0.30533461131435047,3.475965803483567,0.0005090171867902436,0.015858836619546512,True,False
LINC02610,3.522377259926301,1.3433531015127558,0.4261009300688673,3.1526640913354504,0.0016178786200628907,0.033357332416839365,True,False
