Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
PDCD10,436.1172815303135,0.4610580183838867,0.0891062508163127,5.174250001095105,2.2882826723084007e-07,5.34445298891439e-05,4.272096738734544
ZNF18,189.6647699981576,-0.2865342739025112,0.0555078272515289,-5.162051697756172,2.442578074560065e-07,5.612808036815685e-05,4.2508198107960595
RNASEH1,215.16694024015263,-0.3105486010211704,0.060311627808233,-5.1490668102773,2.617856298914088e-07,5.920095030258573e-05,4.227671321860583
OR13D1,32.64808379860224,-8.069311245650136,1.568979515973576,-5.143031609716717,2.703401150771641e-07,6.018024405475556e-05,4.220546055356013
POLR1G,30.13326426861967,0.8218965139123104,0.1619499927187992,5.075001857761146,3.874922156893037e-07,8.493233226039246e-05,4.070926949930169
ZFHX2,2.310555804971369,2.350871241711152,0.4644395876095007,5.061737423829936,4.154529475914301e-07,8.968118400507734e-05,4.047298666654417
GIMAP4,179.38676029299927,0.6309287161914173,0.124761286373031,5.057087294731531,4.257084013600129e-07,9.052339692800154e-05,4.043239157331028
HNRNPF,469.9773087566139,0.4116223488256381,0.0823604578829747,4.997815206546187,5.798351011911589e-07,0.0001214839806863,3.9154809859193125
MIEF1,173.21508109742774,-0.3731192148422019,0.0748077269861605,-4.987709557212307,6.109933034549794e-07,0.0001261568347003,3.8990892160760984
GART,77.70775019950003,0.429962723958626,0.086293214134726,4.9825786218525,6.274248416064206e-07,0.0001276988816909,3.893812906006732
ZDHHC16,123.0973756977257,0.3787282366285602,0.0760628571332134,4.97914817958088,6.386473334658659e-07,0.0001281522332378,3.89227382120504
SPATA2,79.22515015277988,-0.4676867919587675,0.0941471932805331,-4.967612688837017,6.778217055431102e-07,0.0001341239699843,3.8724936002122177
NCR3LG1,27.76102589552902,-1.0631250514693211,0.2147645184801534,-4.950189440010154,7.414127815309544e-07,0.0001446973684722,3.8395393670730478
CCT6A,637.1986104842168,-0.2070298146902693,0.0418877131158365,-4.942495049031392,7.712906466949114e-07,0.0001465143712461,3.8341197743080317
LINC01128,21.336179282361417,0.7150981235961945,0.144650891666154,4.943613657402125,7.668760669378761e-07,0.0001465143712461,3.8341197743080317
SLC20A2,107.9353148272864,-0.3269317078893554,0.0664598792516737,-4.919234154057266,8.688348351462316e-07,0.000162872235478,3.788152942741149
AKAP8,353.50074177985834,-0.3685018657681514,0.0751976186235008,-4.900445951794899,9.56193610390657e-07,0.0001769206541199,3.752221463604164
RFK,60.58181470574429,0.5801237684211341,0.1184597988767514,4.897220609201859,9.720169271112123e-07,0.0001775426302635,3.7506973504100865
GABPB1,48.63679751441511,-1.066635930617585,0.2184781061626264,-4.882118164387709,1.0495233020633391e-06,0.0001869069810562,3.728374477232379
PDHA1,152.29232048909208,0.3012595741329709,0.0616757438278798,4.884571396069488,1.0365407926423651e-06,0.0001869069810562,3.728374477232379
TM2D2,17.32136758265031,1.0218807590942205,0.2107153038660157,4.849580169763025,1.2372305770086408e-06,0.0002176151114894,3.6623109499270363
GPR15,133.73454727403046,1.8416005011722845,0.3800196016328216,4.846067132483485,1.2593291864426905e-06,0.0002188007673079,3.659951159317571
DDB1,758.4130338039903,0.2262295827700711,0.0468404429794338,4.829791700932491,1.366759529382467e-06,0.000224340211296,3.6490928754194174
VWA5A,73.88070447497135,0.6311384320060747,0.1305913213025895,4.832927837093259,1.3453956573510097e-06,0.000224340211296,3.6490928754194174
GMEB2,129.51276851787296,-0.2828553183697853,0.0585703240662973,-4.82932821149519,1.3699444362148125e-06,0.000224340211296,3.6490928754194174
CUX1,204.0009240864508,-0.4105696405032951,0.0849154986950267,-4.835037735312045,1.3312038014172209e-06,0.000224340211296,3.6490928754194174
RAVER2,6.867874673613201,-1.225916333625614,0.2536271971256461,-4.833536574621762,1.341286225920605e-06,0.000224340211296,3.6490928754194174
CHCHD4,25.406618304980736,0.5012162190674517,0.1041735207082009,4.811359121397093,1.4990738188943707e-06,0.0002399697157054,3.6198435630046926
TNFSF10,113.23713524204706,0.8590413040134411,0.1785263658096212,4.811845578761818,1.49542882453431e-06,0.0002399697157054,3.6198435630046926
PRDX3,123.04653196971825,0.5046406941599291,0.1054345112517416,4.786295190907836,1.6988813315151795e-06,0.0002689329147788,3.5703560410939037
FANCE,45.72447769280465,0.5506912533430043,0.1153696331713031,4.773277319217327,1.812519369765096e-06,0.0002837688292422,3.547035311597318
COA5,75.12554651947538,0.4366971266803889,0.0919476525701034,4.749410283720284,2.0401067653781465e-06,0.0003125311944768,3.5051066281982766
CIPC,96.67716536111196,0.4694025904295357,0.0988079010259712,4.750658454996988,2.0275534243004213e-06,0.0003125311944768,3.5051066281982766
ALDH8A1,5.951947971079471,1.7221366697353269,0.3629077091893292,4.745384642233893,2.0811049048277056e-06,0.0003154202295646,3.5011104565158733
ZFP64,80.8193771215822,0.3654543217906661,0.0770828734543345,4.741057324584155,2.126057621637035e-06,0.0003188415045838,3.4964251501414574
SENP5,201.15534991577508,-0.2634368814094415,0.0556204648002271,-4.736330096406634,2.1762302267687893e-06,0.0003229661670914,3.490842970594916
PEAK1,54.56221174966485,-1.422004497111801,0.3004345331686316,-4.733159274715071,2.210518908531235e-06,0.0003246728132973,3.4885540758005003
CTDSPL2,672.8066490350872,-0.2611008675204642,0.0553144998597879,-4.7202969959469305,2.3550053661105997e-06,0.000342364912765,3.4655107503423186
RTN3,7.317083582680038,2.424763393586378,0.5146632947372202,4.711358704576802,2.460706772526296e-06,0.0003541180746281,3.4508519057442517
CCT5,503.7835737127402,0.4038044369566351,0.0858659401000728,4.702731216661921,2.567042577998466e-06,0.0003617807219875,3.441554578873421
